,token_acc,token_p,token_r,token_f,ents_p,ents_r,ents_f,ents_per_type,speed
ACH,1.0,1.0,1.0,1.0,0.9,0.8811188811188811,0.8904593639575972,"{'p': 0.9710144927536232, 'r': 0.9054054054054054, 'f': 0.937062937062937}",30586.648196285994
CAL,1.0,1.0,1.0,1.0,0.9,0.8811188811188811,0.8904593639575972,"{'p': 0.9482758620689655, 'r': 0.9649122807017544, 'f': 0.9565217391304347}",30586.648196285994
LOC,1.0,1.0,1.0,1.0,0.9,0.8811188811188811,0.8904593639575972,"{'p': 0.8955223880597015, 'r': 0.8333333333333334, 'f': 0.8633093525179857}",30586.648196285994
TAM,1.0,1.0,1.0,1.0,0.9,0.8811188811188811,0.8904593639575972,"{'p': 0.8620689655172413, 'r': 0.8064516129032258, 'f': 0.8333333333333334}",30586.648196285994
ATE,1.0,1.0,1.0,1.0,0.9,0.8811188811188811,0.8904593639575972,"{'p': 0.7272727272727273, 'r': 1.0, 'f': 0.8421052631578948}",30586.648196285994
BOR,1.0,1.0,1.0,1.0,0.9,0.8811188811188811,0.8904593639575972,"{'p': 0.6666666666666666, 'r': 0.8, 'f': 0.7272727272727272}",30586.648196285994
